,NOMBRE_CAMPO,LONGITUD,TIPO,NEMÓNICO,CATÁLOGO,RANGO_CLAVES                                                              
0,Entidad de registro,2,C,ent_regis,entidad_municipio_localidad_2021,"01..32	"
1,Municipio o alcaldía de registro,3,C,mun_regis,entidad_municipio_localidad_2021,001..570                                                                 
2,Entidad de residencia habitual del (la) fallecido (a),2,C,ent_resid,entidad_municipio_localidad_2021,"01..35,99                                                               "
3,Municipio o alcaldía de residencia habitual del (la) fallecido (a),3,C,mun_resid,entidad_municipio_localidad_2021,"001..570,999                                                            "
4,Tamaño de localidad de residencia habitual del (la) fallecido (a),2,N,tloc_resid,tamaño_localidad,"01..17,99                                                                "
5,Localidad de residencia habitual del (la) fallecido (a),4,C,loc_resid,entidad_municipio_localidad_2021,"0001..6999,777,9999                                                       "
6,Entidad de ocurrencia,2,C,ent_ocurr,entidad_municipio_localidad_2021,"01..35,99                                                                "
7,Municipio o alcaldía de ocurrencia,3,C,mun_ocurr,entidad_municipio_localidad_2021,"001..570,999                                                             "
8,Tamaño de localidad de ocurrencia,2,N,tloc_ocurr,tamaño_localidad,"01..17,99                                                                "
9,Localidad de ocurrencia,4,C,loc_ocurr,entidad_municipio_localidad_2021,"0001..6999,777,9999                                                       "
10,Causa de la defunción (lista detallada),4,C,causa_def,causa_defuncion,A000..Y899                                                                    
11,Causa de la defunción (lista mexicana),3,C,lista_mex,lista_mexicana,01..61
12,Sexo del (la) fallecido (a),1,N,sexo,sexo,"1,2,9                                                                   "
13,Edad del (la) fallecido (a),4,N,edad,edad,"1001..1023,1097,1098,2001..2029,2098,3001..3011,3098,4001..4120,4998   "
14,Día de ocurrencia,2,N,dia_ocurr,dia,"1..31,99                                                                "
15,Mes de ocurrencia,2,N,mes_ocurr,mes,"1..12,99                                                               "
16,Año de ocurrencia,4,N,anio_ocur,año," Año de estadística menos 1, Año de estadística"
17,Día de registro,2,N,dia_regis,dia,"1..31,99                                                                "
18,Mes de registro,2,N,mes_regis,mes,"1..12,99	"
19,Año de registro,4,N,anio_regis,año,Año estadística                                                           
20,Día de nacimiento del (la) fallecido (a),2,N,dia_nacim,dia,"1..31,99                                                                "
21,Mes de nacimiento del (la) fallecido (a),2,N,mes_nacim,mes,"1..12,99                                                                "
22,Año de nacimiento del (la) fallecido (a),4,N,anio_nacim,año," Año de estadística menos 1, Año de estadística"
23,Ocupación del (la) fallecido (a),2,N,ocupacion,ocupacion,"1..11,97,98,99                                                      "
24,Nivel de escolaridad del (la) fallecido (a) (escolaridad),2,N,escolarida,escolaridad,"1..10,88,99                                                            "
25,Estado conyugal (civil) del (la) fallecido (a),1,N,edo_civil,estado_civil,"1..6,8,9                                                               "
26,Tipo de defunción (presunto),1,N,presunto,presunta_defuncion_violenta,"1..5,8                                                                  "
